window_start,symbol,open,high,low,close,avg_price,total_volume,window_end
2025-12-07 13:00:00,AAPL,278.78,278.78,278.78,278.78,278.78,141797535,2025-12-07 13:05:00
2025-12-07 13:00:00,AMZN,229.53,229.53,229.53,229.53,229.53,99352131,2025-12-07 13:05:00
2025-12-07 13:00:00,GOOGL,321.27,321.27,321.27,321.27,321.27,86555115,2025-12-07 13:05:00
2025-12-07 13:00:00,MSFT,483.16,483.16,483.16,483.16,483.16,67826130,2025-12-07 13:05:00
2025-12-07 13:00:00,TSLA,455.0,455.0,455.0,455.0,455.0,169282566,2025-12-07 13:05:00
2025-12-07 13:05:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:10:00
2025-12-07 13:05:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:10:00
2025-12-07 13:05:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:10:00
2025-12-07 13:05:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:10:00
2025-12-07 13:05:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:10:00
2025-12-07 13:10:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:15:00
2025-12-07 13:10:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:15:00
2025-12-07 13:10:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:15:00
2025-12-07 13:10:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:15:00
2025-12-07 13:10:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:15:00
2025-12-07 13:15:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:20:00
2025-12-07 13:15:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:20:00
2025-12-07 13:15:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:20:00
2025-12-07 13:15:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:20:00
2025-12-07 13:15:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:20:00
2025-12-07 13:20:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:25:00
2025-12-07 13:20:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:25:00
2025-12-07 13:20:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:25:00
2025-12-07 13:20:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:25:00
